nome_conta,Date,nome_campanha,tipo_rede_ad,impressoes,cliques,interacoes,conversoes,valor_conversoes,investido
Intelbras - E-commerce (A7B),2022-12-04,[E-COMMERCE] Institucional - Conversão,SEARCH,345159.5,24607.5,24607.5,221.59499999999997,221.59499999999997,5182.11
Intelbras - Controle de Acesso (A7B),2022-12-04,[CONT-ACESS - AUT-PORTÕES] TRÁFEGO (search) - Automatizadores Awareness,SEARCH,18768.0,603.5,603.5,34.0,34.0,630.275
Intelbras - E-commerce (A7B),2022-12-04,[E-COMMERCE] PMax: Outras Categorias - Conversão,MIXED,57103.5,632.0,632.0,17.64,17.64,389.235
Intelbras - Segurança (A7B),2022-12-04,[SEG - TMR] Remarketing (Display) - Micro SD,CONTENT,40851.0,280.5,289.0,0.0,0.0,425.637092
Intelbras - Redes (A7B),2022-12-04,[REDES - FIBRA-ÓPTICA] TRÁFEGO (display) - Fibra Óptica,CONTENT,833.0,110.5,110.5,51.0,51.0,484.5
Intelbras - E-commerce (A7B),2022-12-04,[E-Commerce] Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,1188.0,9.0,9.0,0.0,0.0,8.71
Intelbras - Controle de Acesso (A7B),2022-12-04,[CONT-ACESS - EMP-CORP] CONVERSÕES (pmax) - Linha de Faciais,MIXED,16507.0,3043.0,3043.0,263.5,263.5,3909.794419
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Lead (Search) - SeP Agronegocio,SEARCH,875.5,42.5,42.5,0.0,0.0,121.89
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Remarketing (Display) - Simulador Solar,CONTENT,28985.0,595.0,595.0,51.0,51.0,298.86
Intelbras - Segurança (A7B),2022-12-04,[SEG - CFTVIP] Visualizações nos Vídeos (In-feed) - CFTV IP Live,YOUTUBE_WATCH,3348517.5,0.0,105285.0,0.0,0.0,5315.325
Intelbras - Energia Solar (A7B),2022-12-04,[ES - OG] Leads (PMAX) - Simulador Solar,MIXED,3320933.0,12767.0,12767.0,1130.5,1130.5,4519.2679895
Intelbras - E-commerce (A7B),2022-12-04,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Casa Inteligente - Demais Produtos - 06/2022,MIXED,13075.5,163.5,163.5,3.325,3.325,136.323553
Intelbras - E-commerce (A7B),2022-12-04,[E-COMMERCE] PMax Residências - Venda,MIXED,246500.0,2320.5,2320.5,51.0,51.0,1121.66
Intelbras - Segurança (A7B),2022-12-04,[SEG - TMR] Tráfego (Discovery) - Micro SD,MIXED,705.5,0.0,161.5,0.0,0.0,20.7382235
Intelbras - Controle de Acesso (A7B),2022-12-04,[CONT-ACESS - AUT-PORTÕES] CONSIDERAÇÃO (youtube) - Automatizadores Awareness,YOUTUBE_WATCH,34280.5,127.5,18105.0,0.0,0.0,483.75472
Intelbras - Comunicação (A7B),2022-12-04,[CM - EC] Conversão (PMAX) - Wide Chat,MIXED,4301.0,654.5,663.0,0.0,0.0,428.383102
Intelbras - E-commerce (A7B),2022-12-04,Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,19008.0,144.0,144.0,0.0,0.0,139.36
Intelbras - Redes (A7B),2022-12-04,[REDES - CAB-ESTRUT] TRÁFEGO (search) - Cabos e passivos,SEARCH,3068.5,102.0,102.0,6.5449999999999982,6.5449999999999982,127.16
Intelbras - Controle de Acesso (A7B),2022-12-04,[CONT-ACESS - INC-ILU] TRÁFEGO (search) - Incêndio,SEARCH,7505.5,365.5,365.5,12.75,12.75,584.29
Intelbras - Solução Residencial (A7B),2022-12-04,AT - Sol. Residenciais - Venda - Casa Inteligente - Institucional - Jun/22,SEARCH,15079.0,1164.5,1164.5,8.5,8.5,821.185
